,City,Cloudiness,Country,Datetime,Humidity,Lat,Long,Max Temp,Wind Speed
0,Avarua,20,CK,06/22/2021,61,-21.2078,-159.775,80.65,5.75
1,Thompson,75,CA,06/22/2021,35,55.7435,-97.8558,69.8,9.22
2,Lyuban',34,BY,06/22/2021,94,52.7985,28.0048,65.73,7.63
3,Barrow,1,US,06/22/2021,65,71.2906,-156.7887,44.62,8.05
4,Berlevåg,100,NO,06/22/2021,90,70.8578,29.0864,44.13,19.35
5,Faya,0,SA,06/22/2021,13,18.3851,42.4509,70.32,8.57
6,Kpandu,98,GH,06/22/2021,92,6.9954,0.2931,72.64,4.25
7,Albany,100,US,06/22/2021,75,42.6001,-73.9662,59.9,10.25
8,Dingle,99,PH,06/22/2021,76,10.9995,122.6711,81.0,4.32
9,Lagoa,90,PT,06/22/2021,76,39.05,-27.9833,64.98,3.49
10,Tungor,98,RU,06/22/2021,76,53.3808,142.9564,59.72,10.02
11,Saint Paul Harbor,90,US,06/22/2021,93,57.79,-152.4072,50.0,11.5
12,Fonte Boa,54,BR,06/22/2021,95,-2.4959,-66.2662,73.24,1.54
13,Sitka,90,US,06/22/2021,71,57.0531,-135.33,55.4,4.61
14,Hobart,0,AU,06/22/2021,89,-42.8794,147.3294,47.12,5.01
15,Atuona,58,PF,06/22/2021,78,-9.8,-139.0333,77.92,7.31
16,Beloha,0,MG,06/22/2021,94,-25.1667,45.05,61.81,8.39
17,Nanortalik,67,GL,06/22/2021,91,60.1432,-45.2371,43.21,5.68
18,Punta Arenas,40,CL,06/22/2021,80,-53.15,-70.9167,37.42,5.75
19,Tiksi,97,RU,06/22/2021,61,71.6872,128.8694,49.01,10.4
20,Belyy Yar,75,RU,06/22/2021,100,53.6039,91.3903,55.29,2.24
21,Constitución,100,CL,06/22/2021,81,-35.3333,-72.4167,57.07,20.83
22,Dali,90,CN,06/22/2021,88,25.7,100.1833,65.95,3.31
23,Gejiu,100,CN,06/22/2021,84,23.306,103.1635,62.19,2.98
24,Busselton,94,AU,06/22/2021,100,-33.65,115.3333,46.0,9.24
25,Bengkulu,53,ID,06/22/2021,88,-3.8004,102.2655,74.77,5.88
26,Turbat,0,PK,06/22/2021,75,26.0023,63.044,81.88,3.33
27,Rikitea,46,PF,06/22/2021,76,-23.1203,-134.9692,75.72,11.3
28,Mataura,53,NZ,06/22/2021,88,-46.1927,168.8643,47.48,0.45
29,São Filipe,66,CV,06/22/2021,82,14.8961,-24.4956,73.4,5.93
30,Saint-Philippe,67,RE,06/22/2021,83,-21.3585,55.7679,63.99,13.09
31,Umaria,66,IN,06/22/2021,75,23.5333,80.8333,78.66,9.08
32,Vaini,75,TO,06/22/2021,83,-21.2,-175.2,77.16,8.05
33,Chokurdakh,21,RU,06/22/2021,24,70.6333,147.9167,76.24,7.36
34,Puerto Ayora,45,EC,06/22/2021,91,-0.7393,-90.3518,72.55,5.99
35,Port Elizabeth,42,ZA,06/22/2021,94,-33.918,25.5701,53.89,3.44
36,Mersing,40,MY,06/22/2021,88,2.4312,103.8405,75.2,3.44
37,Hilo,40,US,06/22/2021,71,19.7297,-155.09,82.26,9.22
38,Bluff,33,NZ,06/22/2021,69,-46.6,168.3333,47.8,6.62
39,Almansa,77,ES,06/22/2021,61,38.8692,-1.0971,63.64,2.28
40,Manokwari,95,ID,06/22/2021,71,-0.8667,134.0833,82.11,6.38
41,Upernavik,5,GL,06/22/2021,53,72.7868,-56.1549,45.21,8.57
42,Iqaluit,90,CA,06/22/2021,93,63.7506,-68.5145,35.33,10.36
43,Kathu,40,TH,06/22/2021,83,7.9178,98.3332,87.01,10.36
44,Myre,29,NO,06/22/2021,79,69.1036,15.9492,44.55,8.59
45,Esperance,90,AU,06/22/2021,100,-33.8667,121.9,51.8,21.85
46,Jamestown,40,US,06/22/2021,63,42.097,-79.2353,60.39,5.01
47,Carauari,79,BR,06/22/2021,92,-4.8828,-66.8958,73.44,2.01
48,Bethel,100,US,06/22/2021,91,41.3712,-73.414,61.92,4.27
49,Faanui,24,PF,06/22/2021,72,-16.4833,-151.75,80.15,6.13
50,Bairiki Village,30,KI,06/22/2021,71,1.3292,172.9752,82.94,7.25
51,Mahébourg,75,MU,06/22/2021,68,-20.4081,57.7,70.09,11.5
52,Hermanus,94,ZA,06/22/2021,79,-34.4187,19.2345,57.99,3.0
53,Touros,23,BR,06/22/2021,78,-5.1989,-35.4608,76.1,10.96
54,Lebu,100,CL,06/22/2021,86,-37.6167,-73.65,56.23,27.56
55,Ushuaia,40,AR,06/22/2021,56,-54.8,-68.3,42.46,5.75
56,Houma,1,US,06/22/2021,81,29.5958,-90.7195,86.0,3.44
57,Cape Town,20,ZA,06/22/2021,87,-33.9258,18.4232,60.89,5.01
58,Kapaa,20,US,06/22/2021,73,22.0752,-159.319,84.18,3.0
59,Pacific Grove,1,US,06/22/2021,56,36.6177,-121.9166,69.8,17.27
60,Nuristan,1,AF,06/22/2021,57,35.3,70.8333,40.48,8.77
61,Tuktoyaktuk,90,CA,06/22/2021,87,69.4541,-133.0374,39.2,8.05
62,Hofn,1,IS,06/22/2021,63,64.2539,-15.2082,49.21,14.07
63,Qaanaaq,85,GL,06/22/2021,56,77.484,-69.3632,42.1,8.79
64,Warrnambool,100,AU,06/22/2021,81,-38.3833,142.4833,53.82,19.95
65,Awjilah,0,LY,06/22/2021,26,29.1081,21.2869,86.52,4.43
66,Carnarvon,0,AU,06/22/2021,60,-24.8667,113.6333,46.47,8.05
67,Flers,90,FR,06/22/2021,87,48.7372,-0.5747,53.6,6.91
68,Alcains,54,PT,06/22/2021,73,39.9164,-7.4566,62.01,4.41
69,Castro,32,BR,06/22/2021,97,-24.7911,-50.0119,52.74,4.29
70,Kasongo-Lunda,100,CD,06/22/2021,47,-6.4667,16.8167,71.1,1.41
71,Paamiut,93,GL,06/22/2021,96,61.994,-49.6678,41.14,17.0
72,Dorogino,97,RU,06/22/2021,95,54.3598,83.3198,50.41,7.27
73,Iwaki,98,JP,06/22/2021,94,37.05,140.8833,75.78,5.64
74,Qaqortoq,54,GL,06/22/2021,87,60.7167,-46.0333,54.1,3.83
75,New Norfolk,100,AU,06/22/2021,91,-42.7826,147.0587,47.75,2.04
76,Bonthe,100,SL,06/22/2021,82,7.5264,-12.505,78.22,6.8
77,Pozo Colorado,100,PY,06/22/2021,79,-23.4923,-58.7972,62.85,3.91
78,Ypres,100,BE,06/22/2021,84,50.8511,2.8857,56.95,1.01
79,Murgab,0,TM,06/22/2021,43,37.4966,61.9714,73.27,6.91
80,Krasnosel'kup,100,RU,06/22/2021,91,65.7,82.4667,41.27,8.25
81,Bandarbeyla,97,SO,06/22/2021,79,9.4942,50.8122,77.23,22.41
82,Seryshevo,93,RU,06/22/2021,68,51.0933,128.3786,72.75,3.38
