,City,Cloudiness,Country,Datetime,Humidity,Lat,Long,Max Temp,Wind Speed
0,Talnakh,97,RU,1624416734,66,69.4865,88.3972,46.17,12.26
1,Mataura,100,NZ,1624416700,87,-46.1927,168.8643,50.49,2.39
2,Rikitea,24,PF,1624416655,75,-23.1203,-134.9692,75.9,9.84
3,Vaini,75,TO,1624416659,88,-21.2,-175.2,75.36,5.75
4,Departamento de Maldonado,0,UY,1624416717,93,-34.6667,-54.9167,52.99,8.97
5,Tuatapere,100,NZ,1624416609,76,-46.1333,167.6833,50.83,1.14
6,Omboué,100,GA,1624416735,85,-1.5746,9.2618,73.54,5.68
7,Brae,100,GB,1624416735,86,60.3964,-1.353,51.71,15.9
8,Thompson,75,CA,1624416736,42,55.7435,-97.8558,64.56,12.66
9,Dunedin,72,NZ,1624416457,57,-45.8742,170.5036,50.81,5.01
10,Bouna,64,CI,1624416736,97,9.2667,-3.0,70.83,3.36
11,New Norfolk,100,AU,1624416671,86,-42.7826,147.0587,50.92,1.92
12,Saint-Augustin,100,CA,1624416737,99,51.226,-58.6502,55.76,7.45
13,Chokurdakh,0,RU,1624416737,22,70.6333,147.9167,78.49,6.24
14,Ushuaia,40,AR,1624416738,56,-54.8,-68.3,42.46,10.36
15,Djibouti,76,DJ,1624416709,44,11.5,42.5,81.82,5.26
16,Albany,100,US,1624416738,77,42.6001,-73.9662,56.57,1.99
17,George Town,40,MY,1624416739,85,5.4112,100.3354,81.9,2.3
18,Saint-Philippe,65,RE,1624416739,79,-21.3585,55.7679,63.95,13.82
19,Marawi,64,PH,1624416689,57,7.9986,124.2928,81.64,3.29
20,Cēsis,12,LV,1624416740,95,57.3119,25.2746,72.73,5.35
21,Arraial do Cabo,57,BR,1624416710,79,-22.9661,-42.0278,70.02,18.01
22,Punta Arenas,40,CL,1624416740,86,-53.15,-70.9167,33.91,5.75
23,Palu,10,ID,1624416740,53,-0.8917,119.8707,89.96,2.24
24,Busselton,100,AU,1624416645,71,-33.65,115.3333,57.09,10.09
25,Magaria,100,NE,1624416741,59,12.9983,8.9099,79.88,7.27
26,Avarua,20,CK,1624416707,65,-21.2078,-159.775,78.85,5.75
27,Tautira,21,PF,1624416742,77,-17.7333,-149.15,78.82,3.91
28,Yangi Marg`ilon,6,UZ,1624416683,22,40.4272,71.7189,77.72,6.91
29,Atuona,52,PF,1624416742,76,-9.8,-139.0333,78.48,7.96
30,Bluff,100,NZ,1624416742,66,-46.6,168.3333,50.81,13.47
31,Bubaque,73,GW,1624416743,77,11.2833,-15.8333,79.9,11.23
32,Port Elizabeth,100,ZA,1624416450,93,-33.918,25.5701,52.11,1.14
33,Yellowknife,20,CA,1624416743,44,62.456,-114.3525,59.56,20.71
34,Hobart,0,AU,1624416744,84,-42.8794,147.3294,51.26,4.0
35,Grand Baie,25,MU,1624416568,60,-20.0182,57.5802,68.47,17.9
36,Mar del Plata,0,AR,1624416718,60,-38.0023,-57.5575,54.12,13.0
37,Port Alfred,100,ZA,1624416578,84,-33.5906,26.891,60.76,4.99
38,Ostrovnoy,100,RU,1624416744,97,68.0531,39.5131,49.68,19.22
39,Opuwo,0,NA,1624416745,46,-18.0607,13.84,52.52,7.05
40,Cabo San Lucas,32,MX,1624416524,74,22.8909,-109.9124,84.81,14.14
41,Jiazi,100,CN,1624416746,84,22.8779,116.067,80.06,4.18
42,Betioky,0,MG,1624416746,74,-23.7167,44.3833,58.5,5.7
43,Kapaa,1,US,1624416665,66,22.0752,-159.319,82.72,1.99
44,Cape Town,75,ZA,1624416448,85,-33.9258,18.4232,59.88,1.99
45,Qaanaaq,96,GL,1624416747,56,77.484,-69.3632,41.41,7.83
46,Hirara,75,JP,1624416747,89,24.8,125.2833,80.87,12.66
47,Mildura,90,AU,1624416655,82,-34.2,142.15,55.36,12.66
48,Dikson,96,RU,1624416660,87,73.5069,80.5464,32.47,13.18
49,Aitape,21,PG,1624416748,65,-3.1374,142.3475,85.77,7.31
50,Ozernovskiy,100,RU,1624416748,92,51.5,156.5167,44.24,6.98
51,Bredasdorp,100,ZA,1624416749,80,-34.5322,20.0403,57.27,6.4
52,Roald,90,NO,1624416749,82,62.5833,6.1333,54.16,1.14
53,Frânceşti,2,RO,1624416749,87,45.0,24.1,63.95,2.66
54,Khatanga,55,RU,1624416750,51,71.9667,102.5,58.33,18.14
55,Hermanus,100,ZA,1624416750,80,-34.4187,19.2345,57.79,15.59
56,Nikolskoye,89,RU,1624416750,94,59.7035,30.7861,75.09,4.94
57,Esperance,100,AU,1624416751,77,-33.8667,121.9,55.24,27.27
58,San Cristobal,89,VE,1624416751,85,7.7669,-72.225,64.92,2.28
59,Seydi,0,TM,1624416751,20,39.4816,62.9137,78.13,20.8
60,Elizabeth City,90,US,1624416751,95,36.2946,-76.2511,70.02,11.5
61,Lakatoro,64,VU,1624416752,74,-16.0999,167.4164,78.06,14.67
62,Hithadhoo,75,MV,1624416752,73,-0.6,73.0833,80.47,5.84
63,La Ronge,75,CA,1624416752,88,55.1001,-105.2842,64.62,2.3
64,Korla,74,CN,1624416753,20,41.7597,86.1469,75.78,12.26
65,Coquimbo,0,CL,1624416706,76,-29.9533,-71.3436,53.33,8.05
66,Narsaq,93,GL,1624416753,82,60.9167,-46.05,44.96,2.59
67,Walvis Bay,0,NA,1624416753,87,-22.9575,14.5053,57.09,3.44
68,Castro,96,BR,1624416754,97,-24.7911,-50.0119,54.48,6.8
69,Ilhabela,88,BR,1624416754,89,-23.7781,-45.3581,65.7,4.09
70,Grindavik,0,IS,1624416754,87,63.8424,-22.4338,46.35,10.36
71,Daru,94,PG,1624416755,82,-9.0763,143.2092,80.91,18.14
72,Zheleznodorozhnyy,18,RU,1624416755,70,55.7503,38.0042,76.35,1.63
73,Huarmey,12,PE,1624416755,87,-10.0681,-78.1522,65.12,10.96
74,Aksarayskiy,57,RU,1624416756,29,46.7924,48.0119,80.55,16.24
75,Klaksvík,97,FO,1624416756,88,62.2266,-6.589,45.52,4.34
76,Graaff-Reinet,100,ZA,1624416756,64,-32.2522,24.5308,47.91,7.02
77,Praia da Vitória,75,PT,1624416757,72,38.7333,-27.0667,66.45,2.51
78,Charter Township of Clinton,20,US,1624416659,82,42.587,-82.9199,60.1,0.0
79,Souillac,40,MU,1624416757,73,-20.5167,57.5167,68.38,8.05
80,Kununurra,40,AU,1624416757,54,-15.7667,128.7333,85.98,5.75
81,Samarkand,0,UZ,1624416758,28,39.6542,66.9597,72.82,11.5
82,Teguise,75,ES,1624416758,73,29.0605,-13.564,64.62,16.11
83,Puerto Ayora,73,EC,1624416759,91,-0.7393,-90.3518,72.55,5.01
84,Padang,95,ID,1624416759,62,-0.9492,100.3543,86.05,5.46
85,Freeport,90,US,1624416487,83,40.6576,-73.5832,62.98,5.99
86,Iqaluit,75,CA,1624416760,93,63.7506,-68.5145,35.33,8.99
87,Indianola,88,US,1624416760,90,41.3581,-93.5574,65.91,8.19
